data,tipo_dia,n_cpes,MAE,MAPE,RMSE,pct_em_1sigma,pct_em_2sigma
2026-05-20,dia_util,275,0.64,12.1,2.34,87.6,100.0
2026-05-21,dia_util,275,0.69,13.1,3.6,87.6,99.6
2026-05-22,dia_util,275,0.79,14.5,3.55,82.5,99.6
2026-05-23,fim_semana,275,1.01,23.6,5.2,92.4,97.1
2026-05-24,fim_semana,275,0.75,18.5,4.42,89.5,98.2
2026-05-25,dia_util,275,0.65,12.3,2.26,81.1,98.2
2026-05-26,dia_util,275,0.83,14.9,3.59,88.4,98.5
2026-05-27,dia_util,275,0.97,17.1,4.26,77.8,96.4
2026-05-28,dia_util,275,1.01,17.8,3.84,78.2,96.4
2026-05-29,dia_util,275,0.95,17.0,3.86,80.0,96.7
2026-05-30,fim_semana,275,1.09,24.7,4.72,89.1,96.4
2026-05-31,fim_semana,275,0.84,20.8,2.98,92.7,98.2
2026-06-01,dia_util,275,0.63,11.8,1.91,80.4,98.9
2026-06-02,dia_util,275,0.57,10.9,1.69,83.3,98.5
2026-06-21,fim_semana,56,1.95,37.3,3.44,48.2,76.8
